Gene	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
"6234"	878.804025389957	835.810804942779	865.690931053163	895.030990469288	840.818221680194	859.094534705223
"6147"	922.834358026729	970.506683620596	953.694656912953	724.05465920536	716.862311797789	680.341994647132
"9045"	871.641932686787	902.212769446773	854.193850643081	743.481708349588	752.669729844186	736.056749174793
"6173"	819.679839325135	890.331573618153	802.48283543055	770.215907926963	746.015732790297	701.521114582777
"6207"	810.397130603447	793.761093822937	758.515536798962	721.595242003338	727.001739010039	693.50892684824
"25873"	773.66148900357	751.768942978343	743.037504015966	668.768792724013	693.889705984271	681.734116432812
"6230"	702.693486139264	757.998980815445	671.287326905097	581.813118076115	567.969179238647	559.774525412593
"2197"	632.915478034608	603.889139914205	608.653783582399	636.619509857217	626.461579487712	584.010682183004
"6133"	611.755306016803	623.888559192075	584.63221228758	551.456502697128	557.861845024967	503.327793635203
"6144"	600.484386077008	578.578913020166	558.470021218244	504.945281243459	521.701665522438	451.880972857657
"6146"	546.260732987345	537.994811135366	504.772854222412	476.469741377295	500.741494786249	438.321776678149
"51065"	416.074365074223	415.572965922922	380.233835449269	490.9569325238	497.265152254012	465.803310540883
"6231"	488.296220537916	483.548816902109	495.036480372772	322.904277181447	344.147237415424	303.00536652895
"6203"	347.447444763005	341.935516588788	307.484643075276	290.947766459579	302.439804587554	311.55958344417
